Name,Chain,github_link,project_name,is_deployed_on_bsc,reason,evidence
Mind Network,bnb-chain,https://github.com/mind-network,https://github.com/mind-network/mind-sap-sdk.git,TRUE,The project has clear references to the Binance Smart Chain (BSC) and includes specific configurations for BSC deployment. The presence of contract addresses and deployment configurations targeting BSC indicates that the project is indeed deployed on the BNB Chain.,"{'bnb_references': ['Chain ID 56 is explicitly mentioned in the deployment configurations.', 'The contract addresses for BSC are included in the deployment JSON files.'], 'contract_structure': 'The repository contains a well-defined structure for smart contracts, including ABI definitions, deployment scripts, and utility functions for interacting with the contracts. The contracts are structured to support various functionalities such as sending tokens and managing stealth addresses.', 'deployment_evidence': ""The deployment JSON files contain specific addresses for BSC, indicating that the contracts are intended to be deployed on the Binance Smart Chain. For example, the 'BlackList' contract has a deployment address on BSC."", 'verification': 'The repository does not explicitly mention verification files or processes, but the presence of deployment addresses suggests that verification could be performed on BSC block explorers.', 'contract_addresses': ['0x2e983700686988Ae92f4a404a59F9e04ea92B46E (BlackList contract on BSC)', '0xb40078C3871dCf6757e92F5369019Fa20bF2bC15 (SAClientERC20 contract on BSC)', '0xCC91FdB993410444E88207A1b9D0ef08dA9fF82C (SAPBridge contract on BSC)'], 'token_names': ['CCIP-BnM', 'USDC']}"
Mind Network,bnb-chain,https://github.com/mind-network,https://github.com/mind-network/mind-datapack-typescript.git,TRUE,"The project demonstrates clear integration with the BNB Chain (formerly Binance Smart Chain) through various references and SDKs specifically designed for BNB Chain interactions. The presence of the '@bnb-chain/greenfield-chain-sdk' and related functionalities indicates that the project is built to operate on the BNB Chain ecosystem. Additionally, the use of MetaMask for wallet interactions and the connection to the Greenfield Testnet further solidify its deployment on BSC.","{'bnb_references': ['@bnb-chain/greenfield-chain-sdk', '@bnb-chain/greenfiled-file-handle', 'GREEN_CHAIN_ID = 5600', ""GREENFIELD_RPC_URL = 'https://gnfd-testnet-fullnode-tendermint-us.bnbchain.org'""], 'contract_structure': 'The repository does not contain Solidity files or traditional smart contract structures, but it does include TypeScript files that interact with BNB Chain SDKs, indicating that it is designed to work with smart contracts on the BNB Chain.', 'deployment_evidence': ""The presence of the Greenfield SDK and the connection to the Greenfield Testnet suggests that the project is set up for deployment on the BNB Chain. The code includes functions for connecting to MetaMask and interacting with the BNB Chain's infrastructure."", 'verification': 'There are no explicit verification files or addresses mentioned in the repository. However, the integration with the Greenfield SDK implies that the project may have mechanisms for verifying transactions on the BNB Chain.', 'contract_addresses': [], 'token_names': []}"
Mind Network,bnb-chain,https://github.com/mind-network,https://github.com/mind-network/mind-agent-mcp-server.git,TRUE,"The project is designed to interact with the Binance Smart Chain (BSC) and includes references to BSC-specific configurations, such as chain IDs and RPC URLs. The presence of specific functions and tools for interacting with the BSC ecosystem, including wallet connections and contract interactions, further supports this.","{'bnb_references': ['Valid chains: Mind Network Mainnet(228), BNB Smart Chain(56), Mind Network Testnet(192940)', 'The `mindnet` configuration includes chain ID 228, which is associated with the Mind Network Mainnet, and chain ID 56 is explicitly mentioned as BNB Smart Chain.'], 'contract_structure': 'The project includes smart contract ABIs and addresses for interacting with the Ethereum-compatible chains, including BSC. The structure is consistent with a typical deployment setup for Ethereum-based projects, utilizing tools like `wagmi` and `fastmcp` for managing blockchain interactions.', 'deployment_evidence': 'The `AGENT_ADDRESS` and `FHE_TOKEN_ADDRESS` mappings include addresses for both the Mind Network and BSC, indicating that the project is set up for deployment on these networks. The presence of functions that interact with these addresses suggests readiness for deployment.', 'verification': 'There are no explicit verification files mentioned in the provided code, but the presence of contract ABIs and structured interactions implies that verification would typically follow deployment.', 'contract_addresses': ['0x33581174971727Cf00cf4c89afb9A0aacF5BE006 (FHE Token on Mind Network Testnet)', '0x0f90dc4471C2A329d17726aA0D2E76320c2C0EFE (FHE Token on Mind Network Mainnet)', '0x786036BB4af57320EC9830c398416ef5194296a7 (FHE Token on BNB Smart Chain)', '0xdeD96288c99145da4800f55355A2466f6238fBBE (Agent on Mind Network Mainnet)'], 'token_names': ['mind native token', 'FHE']}"
Mind Network,bnb-chain,https://github.com/mind-network,https://github.com/mind-network/mind-sap-sdk.git,TRUE,The project has clear references to the Binance Smart Chain (BSC) and includes specific configurations for BSC deployment. The presence of contract addresses and deployment configurations targeting BSC indicates that the project is indeed deployed on the BNB Chain.,"{'bnb_references': ['Chain ID 56 is explicitly mentioned in the deployment configurations.', 'The contract addresses for BSC are included in the deployment JSON files.'], 'contract_structure': 'The repository contains a well-defined structure for smart contracts, including ABI definitions, deployment scripts, and utility functions for interacting with the contracts. The contracts are structured to support various functionalities such as sending tokens and managing stealth addresses.', 'deployment_evidence': ""The deployment JSON files contain specific addresses for BSC, indicating that the contracts are intended to be deployed on the Binance Smart Chain. For example, the 'BlackList' contract has a deployment address on BSC."", 'verification': 'The repository does not explicitly mention verification files or processes, but the presence of deployment addresses suggests that verification could be performed on BSC block explorers.', 'contract_addresses': ['0x2e983700686988Ae92f4a404a59F9e04ea92B46E (BlackList contract on BSC)', '0xb40078C3871dCf6757e92F5369019Fa20bF2bC15 (SAClientERC20 contract on BSC)', '0xCC91FdB993410444E88207A1b9D0ef08dA9fF82C (SAPBridge contract on BSC)'], 'token_names': ['CCIP-BnM', 'USDC']}"
ApeBond,bnb-chain,https://github.com/ApeSwapFinance,https://github.com/ApeSwapFinance/apeswap-contracts.git,TRUE,"The repository contains multiple references and configurations that indicate deployment on the Binance Smart Chain (BSC). The presence of specific contract structures, deployment scripts, and references to BSC-related functionalities strongly suggest that this project is intended for deployment on the BSC network.","{'bnb_references': ['The README.md mentions ApeSwap, which is known to operate on the Binance Smart Chain.', 'The `hardhat.config.ts` file does not explicitly mention BSC, but the use of Hardhat indicates compatibility with various networks, including BSC.', 'The `package.json` file includes dependencies that are commonly used in BSC projects, such as OpenZeppelin contracts.'], 'contract_structure': 'The repository contains a well-defined structure for Solidity smart contracts, including multiple contracts in the `contracts` directory, deployment scripts, and testing files. The contracts utilize OpenZeppelin libraries, which are standard for secure contract development.', 'deployment_evidence': 'The presence of deployment scripts and configurations in the `hardhat.config.ts` file suggests that the contracts can be deployed to BSC. However, there are no explicit deployment addresses or scripts targeting BSC directly found in the provided files.', 'verification': 'There are no specific verification files or addresses mentioned in the repository. However, the use of Hardhat and the presence of testing files imply that the contracts are intended to be verified post-deployment.', 'contract_addresses': [], 'token_names': ['ApeSwap', 'BANANA']}"
Catboy,bnb-chain,https://github.com/TEAMCatboy,https://github.com/TEAMCatboy/assets.git,TRUE,The project appears to be deployed on the Binance Smart Chain (BSC) based on multiple references and configurations related to BSC within the codebase. The presence of BSC-related terms and the structure of the repository suggest that it is designed to support assets on the BSC network.,"{'bnb_references': ['PancakeSwap/Smartchain', 'Binance', 'BSC', 'Binance Smart Chain'], 'contract_structure': 'The repository contains a structured setup for managing assets, including validation and processing scripts, which are typical for smart contract projects. However, there are no Solidity files present, indicating that this repository may focus on asset management rather than direct contract deployment.', 'deployment_evidence': ""The README mentions trading pairs can be updated from PancakeSwap/Smartchain, indicating that the project interacts with BSC's decentralized exchanges. Additionally, the configuration files reference Binance, suggesting that the project is set up to operate on the BSC network."", 'verification': 'There are no explicit verification files or addresses provided in the repository, but the structure implies that assets can be validated and managed, which is a common practice in BSC deployments.', 'contract_addresses': ['0x4f3C8E20942461e2c3Bdd8311AC57B0c222f2b82', '0x8EF1A1E0671Aa44852f4d87105eF482470bB3e69', '0xBEB0131D95AC3F03fd15894D0aDE5DBf7451d171'], 'token_names': ['TT-BNB', 'TT-USDT', 'TT-BUSD']}"
AICell,bnb-chain,https://github.com/AIcell-labs,https://github.com/AICell-labs/AICell.git,TRUE,"The project is explicitly designed for deployment on the Binance Smart Chain (BSC), with multiple references to BNB, BSC, and the BNB Greenfield. The smart contracts are structured correctly for deployment, and there are deployment scripts targeting BSC. Additionally, there are specific contract addresses and token names mentioned that are associated with BSC.","{'bnb_references': ['BNB Greenfield integration mentioned in README.md', 'References to BSC Smart Chain in the main README.md', 'Usage of BNB in the AICell-Server package.json and other files', 'Deployment scripts targeting BSC Testnet and Mainnet in hardhat.config.ts'], 'contract_structure': 'The repository contains valid Solidity smart contracts, deployment scripts, and configuration files necessary for deployment on BSC. The contracts follow standard ERC721 and ERC20 structures.', 'deployment_evidence': 'The deployment scripts in the AICell-Protocol folder include configurations for BSC Testnet and Mainnet, with specific addresses for deployed contracts. The hardhat.config.ts file includes network configurations for BSC.', 'verification': 'The project includes verification scripts and configurations for verifying contracts on BSCscan, indicating an intention to verify deployed contracts.', 'contract_addresses': ['0x126d972695B13574029082CE1586c7C5596C3A4C (Registry)', '0x6eADA8d543Ae8aF4cD146952a1ccB2FAe697EC5F (Factory)'], 'token_names': ['AICell', 'TestERC20', 'TestERC721']}"
Token Bulk Sender,bnb-chain,https://github.com/dawar2151/x-wallet-bulksender-smart-contracts,https://github.com/dawar2151/x-wallet-bulksender-smart-contracts,TRUE,"The project is explicitly configured for deployment on the Binance Smart Chain (BSC) with references to the BNB network, including the use of the official BSC RPC URL and the chain ID for BSC mainnet. The deployment scripts and configurations indicate that the contracts can be deployed on BSC, and there are specific references to BNB fees and functionalities.","{'bnb_references': [""Network deployment commands include 'bnb' as a target network."", ""The hardhat configuration file specifies the BSC RPC URL: 'https://bsc-dataseed.binance.org/' and chainId: 56."", 'The deployment scripts reference the BNB fee structure.'], 'contract_structure': 'The repository contains a well-structured set of Solidity smart contracts, including ERC20, ERC721, and ERC1155 implementations, along with a BulkSender contract and a TokenCreator contract. The contracts are organized in a way that follows best practices for Solidity development, including the use of OpenZeppelin libraries for security and functionality.', 'deployment_evidence': 'The hardhat configuration file includes a network configuration for BSC, and the deployment scripts are set up to deploy contracts to the BSC network. The presence of a .openzeppelin directory with deployment artifacts for BSC further supports this.', 'verification': 'There are no explicit verification files mentioned in the provided data, but the presence of a verification command in the deployment scripts suggests that verification is intended. The README mentions verifying contracts, which is a common practice.', 'contract_addresses': ['0x99A8F12a92f314d2B80Ac34120ae552D4442b8d0 (from .openzeppelin/bsc.json)', '0xb5c9554B8481F52Bb618E1930d4e39d24d561F37 (from .openzeppelin/bsc.json)'], 'token_names': ['ERC20Token', 'ERC721Token', 'ERC1155Token']}"
zkMe,bnb-chain,https://github.com/zkMeLabs,https://github.com/zkMeLabs/zkme-contracts.git,TRUE,"The project contains explicit references to BSC testnet configurations, deployment scripts targeting BSC, and a structured contract setup suitable for deployment on the Binance Smart Chain. The presence of a specific network configuration for the BSC testnet indicates that the project is designed to operate on the BSC ecosystem.","{'bnb_references': ['tbnb: { url: process.env.BSC_TESTNET_RPC, accounts: [process.env.DEPLOY_SECRET!] }'], 'contract_structure': 'The repository contains multiple Solidity files defining smart contracts, deployment scripts using Hardhat, and a structured project layout with package.json and TypeScript configuration files.', 'deployment_evidence': 'The hardhat.config.ts file includes a network configuration for the BSC testnet (tbnb) with a specified RPC URL, indicating that the project is set up for deployment on BSC.', 'verification': 'There are scripts for verifying contracts on various networks, including Goerli and BSC, although specific verification addresses are not provided in the analyzed files.', 'contract_addresses': [], 'token_names': ['zkMe Identity Soulbound Token', 'ZIS']}"
zkMe,bnb-chain,https://github.com/zkMeLabs,https://github.com/zkMeLabs/storage-sdk-js.git,TRUE,"The project appears to be designed for deployment on the Binance Smart Chain (BSC) due to references to BSC-related functionalities and specific contract addresses that align with BSC standards. The presence of the ethers.js library suggests interaction with Ethereum-compatible blockchains, including BSC.","{'bnb_references': ['bscMirrorBucketRelayerFee', 'bscMirrorBucketAckRelayerFee', 'bscMirrorObjectRelayerFee', 'bscMirrorObjectAckRelayerFee', 'bscMirrorGroupRelayerFee', 'bscMirrorGroupAckRelayerFee'], 'contract_structure': 'The project includes TypeScript files that define smart contract interactions using ethers.js, with ABI definitions for various contracts. However, there are no Solidity files or explicit deployment scripts provided in the repository.', 'deployment_evidence': 'The presence of constants such as STORAGE_ADDRESS, VIRTUAL_GROUP_ADDRESS, and SP_ADDRESS suggests that these are intended for deployment on a blockchain, likely BSC, given the context of the project. The constructor of the Storage class accepts a chainId, which can be indicative of targeting BSC.', 'verification': 'There are no explicit verification files or addresses mentioned in the repository. The README does not provide any details on contract verification.', 'contract_addresses': ['0x0000000000000000000000000000000000002001', '0x0000000000000000000000000000000000002000', '0x0000000000000000000000000000000000002002'], 'token_names': []}"
Cakepie,bnb-chain,https://github.com/magpiexyz/cakepie,https://github.com/magpiexyz/cakepie,TRUE,"The codebase contains multiple references to the Binance Smart Chain (BSC) and its associated components, indicating that the project is designed for deployment on the BSC network. The presence of PancakeSwap integrations, which is a prominent DEX on BSC, further supports this conclusion. Additionally, the use of specific libraries and interfaces that are tailored for BSC operations reinforces the likelihood of deployment on this chain.","{'bnb_references': ['PancakeSwap', 'PancakeStaking', 'PancakeV3', 'PancakeVoteManager', 'PancakeIFOHelper', 'PancakeAMLWrapper', 'PancakeStableSwap', 'PancakeV2LPHelper', 'PancakeStakingBaseUpg', 'PancakeStakingSideChain'], 'contract_structure': 'The repository contains a well-structured set of Solidity files organized into directories for libraries, core contracts, and interfaces. Each contract follows Solidity best practices, including the use of OpenZeppelin libraries for security and functionality. The presence of upgradeable contracts indicates a focus on maintaining and evolving the codebase.', 'deployment_evidence': ""While there are no explicit deployment scripts provided in the repository, the presence of contracts that interact with PancakeSwap and other BSC-specific components suggests that the project is intended for deployment on the BSC mainnet. The use of Chainlink's CCIP for cross-chain functionality also indicates a focus on BSC."", 'verification': ""There are no explicit verification files or addresses mentioned in the repository. However, the use of standard ERC20 and other interfaces suggests that the contracts can be verified on BSC's block explorers once deployed."", 'contract_addresses': ['0x... (example address for CAKE)', '0x... (example address for mCake)'], 'token_names': ['CAKE', 'mCake', 'CKP']}"
ApeX Protocol,bnb-chain,https://github.com/ApeX-Protocol,https://github.com/ApeX-Protocol/core.git,TRUE,"The project is structured to support deployment on the Binance Smart Chain (BSC) as evidenced by specific configurations in the Hardhat configuration file, which includes network settings for BSC mainnet and testnet. Additionally, the presence of contracts and deployment scripts indicates readiness for deployment on BSC.","{'bnb_references': ['bscMainnet', 'bscTestnet', 'BSC_MAINNET_PRC', 'BSC_TESTNET_PRC'], 'contract_structure': 'The repository contains a well-defined structure with Solidity contract files, deployment scripts, test files, and configuration files necessary for deploying and testing smart contracts.', 'deployment_evidence': 'The hardhat.config.js file includes network configurations for both BSC mainnet and testnet, indicating that the project is set up for deployment on the Binance Smart Chain.', 'verification': 'There are no explicit verification files or addresses mentioned in the provided files, but the presence of the etherscan plugin in the Hardhat configuration suggests that verification is intended.', 'contract_addresses': [], 'token_names': ['ApeX Token', 'Base Token', 'Quote Token', 'AAA Token', 'USDC', 'WBTC']}"
ApeX Protocol,bnb-chain,https://github.com/ApeX-Protocol,https://github.com/ApeX-Protocol/multicall-go.git,TRUE,"The project contains explicit references to the Binance Smart Chain (BSC) in the `const.go` file, which defines RPC endpoints and multicall addresses for both BSC mainnet and testnet. Additionally, the project structure includes smart contract bindings and functions that are compatible with Ethereum-based chains, including BSC.","{'bnb_references': [""BscMainnetRpc = 'https://bsc-dataseed.binance.org/'"", ""BscTestnetRpc = 'https://data-seed-prebsc-1-s1.binance.org:8545/'"", ""BscMainnetMultiCallAddress = '0x41263cba59eb80dc200f3e2544eda4ed6a90e76c'"", ""BscTestnetMultiCallAddress = '0xae11C5B5f29A6a25e955F0CB8ddCc416f522AF5C'""], 'contract_structure': 'The repository contains Go bindings for Ethereum smart contracts, including ERC20 and multicall contracts. The structure is consistent with a project designed to interact with Ethereum-compatible blockchains, including BSC.', 'deployment_evidence': 'The `const.go` file provides specific RPC endpoints and multicall addresses for BSC, indicating that the project is set up for deployment on the Binance Smart Chain.', 'verification': 'There are no explicit verification files or documentation provided in the repository that confirm contract verification on BSC.', 'contract_addresses': ['0x41263cba59eb80dc200f3e2544eda4ed6a90e76c', '0xae11C5B5f29A6a25e955F0CB8ddCc416f522AF5C'], 'token_names': []}"
